Vineyard,Latitude,Longitude,Variety,Budburst
Albourne,50.9266,-0.2214,Chardonnay,20/04/19
Albourne,50.9266,-0.2214,Pinot Noir,20/04/19
Astley,52.305,-2.2884,Madeleine ,
Astley,52.305,-2.2884,Siegerrebe,
Bride Valley,50.7127,-2.6381,Chardonnay,
Bride Valley,50.7127,-2.6381,Pinot Noir,
Bride Valley,50.7127,-2.6381,Pinot Meunier,
Bride Valley,53.7127,-5.6381,,
Hambledon,50.9367,-1.0791,Chardonnay,
Hambledon,50.9367,-1.0791,,
Raimes,51.067095,-1.18631,Chardonnay,
Raimes,51.067095,-1.18631,Pinot Noir,
Raimes,51.067095,-1.18631,,
Rathfinny,50.7973,0.1327,,
Woodchurch,51.081744,0.757799,Chardonnay,
Woodchurch,51.081744,0.757799,Pinot Noir,
Woodchurch,51.081744,0.757799,,
